empresa,data,data_formatada,Open,High,Low,Close,Volume,retorno_diario,retorno_diario_2d,posi,ind_posi,neg,ind_neg,neu,ind_neu,indice
ccr,2013-08-13,2013-08-13,17.459999,17.809999,17.280001,17.690001,8472700.0,-0.013087071563118816,0.0023040909474493086,25.0,0.2840909090909091,7.0,0.0795454545454545,56.0,0.6363636363636364,0.2045454545454545
ccr,2013-10-29,2013-10-29,18.84,18.959999,18.370001,18.629999,4357800.0,0.011209138211586438,-0.004811556997222082,29.0,0.2230769230769231,16.0,0.123076923076923,85.0,0.6538461538461539,0.1
ccr,2021-05-14,2021-05-14,13.45,13.57,13.23,13.38,4952000.0,0.005218051347765552,0.013453117697118676,82.0,0.3241106719367589,27.0,0.1067193675889328,144.0,0.5691699604743083,0.217391304347826
ccr,2017-05-12,2017-05-12,18.35,18.540001,18.16,18.540001,5895700.0,-0.010301039574560902,0.04576841845558081,25.0,0.2688172043010752,11.0,0.1182795698924731,57.0,0.6129032258064516,0.1505376344086021
ccr,2021-08-13,2021-08-13,11.86,12.17,11.69,11.87,10563800.0,-0.0008428150519972754,-0.0016820861829848262,78.0,0.2954545454545454,20.0,0.0757575757575757,166.0,0.6287878787878788,0.2196969696969697
ccr,2014-05-13,2014-05-13,18.200001,18.280001,18.0,18.02,5465000.0,0.00993939684761139,-0.0066519092283058535,37.0,0.2700729927007299,22.0,0.1605839416058394,78.0,0.5693430656934306,0.1094890510948905
ccr,2017-08-15,2017-08-15,17.139999,17.139999,16.73,16.790001,7815800.0,0.020631324177865566,0.016480597160539862,43.0,0.270440251572327,20.0,0.1257861635220125,96.0,0.6037735849056604,0.1446540880503144
ccr,2016-11-04,2016-11-04,16.450001,17.049999,16.309999,16.65,4753100.0,-0.012084678424800089,0.05945912051899949,36.0,0.173076923076923,41.0,0.1971153846153846,131.0,0.6298076923076923,-0.0240384615384615
ccr,2021-11-12,2021-11-12,12.04,12.13,11.64,11.81,8649600.0,0.01928780967140386,0.00168208618298488,93.0,0.372,15.0,0.06,142.0,0.568,0.312
ccr,2015-10-28,2015-10-28,12.28,12.59,12.04,12.34,343200.0,-0.004874095758245407,-0.03642786880879253,33.0,0.1549295774647887,25.0,0.1173708920187793,155.0,0.7276995305164319,0.0375586854460093
ccr,2016-08-12,2016-08-12,17.950001,17.950001,17.42,17.620001,5491800.0,0.01855549338287191,-0.027028672387919374,45.0,0.2093023255813953,34.0,0.1581395348837209,136.0,0.6325581395348837,0.0511627906976744
ccr,2015-05-15,2015-05-15,15.5,15.83,15.28,15.51,5222500.0,-0.000644953263246458,-0.024344571897737706,32.0,0.1675392670157068,29.0,0.1518324607329843,130.0,0.680628272251309,0.0157068062827225
ccr,2018-05-11,2018-05-11,12.05,12.54,12.0,12.11,10852200.0,-0.0049668976283368,0.017435061822101566,41.0,0.277027027027027,12.0,0.081081081081081,95.0,0.6418918918918919,0.1959459459459459
ccr,2020-08-14,2020-08-14,13.69,13.74,13.28,13.5,6733600.0,0.013975953855973808,-0.04648513049421505,55.0,0.2455357142857142,25.0,0.1116071428571428,144.0,0.6428571428571429,0.1339285714285714
ccr,2014-10-29,2014-10-29,17.34,17.780001,16.85,17.18,6079500.0,0.00927005479628651,0.02538928971512442,35.0,0.1794871794871795,24.0,0.123076923076923,136.0,0.6974358974358974,0.0564102564102564
ccr,2019-08-09,2019-08-09,15.24,15.58,15.17,15.45,7961500.0,-0.013685453085254203,-0.022443186223371762,54.0,0.2037735849056604,22.0,0.0830188679245283,189.0,0.7132075471698113,0.120754716981132
ccr,2016-02-26,2016-02-26,12.3,12.67,12.15,12.32,4835800.0,-0.001624695727001922,0.007949167454422878,56.0,0.1812297734627831,45.0,0.145631067961165,208.0,0.6731391585760518,0.0355987055016181
ccr,2019-11-29,2019-11-29,17.639999,17.67,17.07,17.190001,3840000.0,0.025841116321188497,-0.0242926925690447,62.0,0.1993569131832797,17.0,0.0546623794212218,232.0,0.7459807073954984,0.1446945337620578
mrv_engenharia,2017-11-08,2017-11-08,11.818321,11.909231,11.509226,11.818321,5096349.0,0.0,0.011696018696408343,81.0,0.1816143497757847,44.0,0.0986547085201793,321.0,0.7197309417040358,0.0829596412556053
