Date,Open,High,Low,Close,Adj Close,Volume
2017-03-10,6.886507,6.886507,6.760099,6.815059,4.962244,14854398
2017-03-13,6.831547,6.941467,6.820555,6.919483,5.038279,14511422
2017-03-14,6.881011,6.957955,6.809563,6.815059,4.962244,18715195
2017-03-15,6.848035,7.034900,6.771091,6.996428,5.094304,35292114
2017-03-16,6.990932,7.012916,6.848035,6.892003,5.018270,20611660
2017-03-17,6.963451,6.974444,6.721627,6.727123,4.898215,22292332
2017-03-20,6.699643,6.908491,6.666667,6.864523,4.998261,55693621
2017-03-21,6.881011,6.908491,6.589722,6.699643,4.878208,35260454
2017-03-22,6.688651,6.831547,6.639187,6.705139,4.882209,14031438
2017-03-23,6.600714,6.688651,6.573234,6.639187,4.834185,16921532
2017-03-24,6.661171,6.760099,6.606210,6.732619,4.902217,11073113
2017-03-27,6.617203,6.754603,6.595218,6.749107,4.914224,13541265
2017-03-28,6.721627,6.771091,6.655675,6.710635,4.886210,23091275
2017-03-29,6.721627,6.886507,6.716131,6.864523,4.998261,29902755
2017-03-30,6.782083,6.842539,6.683155,6.683155,4.866203,15836382
2017-03-31,6.672163,6.727123,6.595218,6.633691,4.830186,16461380
2017-04-03,6.672163,6.782083,6.661171,6.776587,4.936276,15421536
2017-04-04,6.738115,6.870019,6.694147,6.859027,4.996328,22983924
2017-04-05,6.870019,6.875515,6.650179,6.661171,4.852205,16820732
2017-04-06,6.611707,6.727123,6.523770,6.545754,4.768132,24127298
2017-04-07,6.628195,6.749107,6.573234,6.617203,4.820179,18859299
2017-04-10,6.650179,6.666667,6.529266,6.622699,4.824180,23347642
2017-04-11,6.644683,6.688651,6.474306,6.611707,4.816173,22996479
2017-04-12,6.617203,6.633691,6.540258,6.611707,4.816173,15667715
2017-04-13,6.600714,6.628195,6.474306,6.474306,4.716087,13743957
2017-04-17,6.578730,6.864523,6.578730,6.864523,5.000332,18759227
2017-04-18,6.776587,6.897499,6.754603,6.782083,4.940281,14057275
2017-04-19,6.809563,6.815059,6.661171,6.677659,4.864214,29862726
2017-04-20,6.771091,6.771091,6.518274,6.534762,4.760125,27202799
2017-04-21,6.556746,6.617203,6.496290,6.518274,4.748113,20664971
2017-04-24,6.705139,6.787579,6.672163,6.710635,4.888237,20482112
2017-04-25,6.617203,6.749107,6.595218,6.710635,4.888237,16302902
2017-04-26,6.672163,6.760099,6.628195,6.672163,4.860212,15221755
2017-04-27,6.798571,6.815059,6.699643,6.727123,4.900246,31921854
2017-04-28,6.661171,6.782083,6.622699,6.760099,4.924266,18784700
2017-05-01,6.804067,6.924979,6.738115,6.820555,4.968304,14675177
2017-05-02,6.842539,6.968948,6.820555,6.952459,5.066432,34897100
2017-05-03,6.870019,6.902995,6.782083,6.826051,4.974312,23689526
2017-05-04,6.771091,6.782083,6.507282,6.540258,4.766050,18100022
2017-05-05,6.589722,6.688651,6.534762,6.661171,4.854160,18894052
2017-05-08,6.650179,6.705139,6.617203,6.644683,4.842146,13022525
2017-05-09,6.666667,6.727123,6.650179,6.666667,4.858166,15158800
2017-05-10,6.776587,6.820555,6.732619,6.754603,4.922247,15668442
2017-05-11,6.809563,6.941467,6.760099,6.908491,5.034389,18299803
2017-05-12,6.979940,7.056884,6.946963,7.045892,5.134516,28838529
2017-05-15,7.073372,7.144820,7.034900,7.084364,5.162550,16688454
2017-05-16,7.144820,7.166804,7.045892,7.122836,5.190587,15547446
2017-05-17,7.018412,7.078868,6.853531,6.886507,5.018367,24234466
2017-05-18,5.715856,6.051113,5.507007,5.616928,4.093199,131792753
2017-05-19,5.968673,6.078593,5.886232,5.979665,4.357530,70597146
2017-05-22,5.831272,5.869744,5.688376,5.798296,4.225360,40174560
