Empresa,Trimestre,data_formatada,Posi,pos_ind,Neg,neg_ind,Neutral,neu_ind,indice
magazine_luiza,2020-2T,2T2020,299,0.3628640776699029,70,0.0849514563106796,455,0.5521844660194175,0.2779126213592233
magazine_luiza,2022-4T,4T2022,197,0.4112734864300626,35,0.0730688935281837,247,0.5156576200417536,0.3382045929018789
magazine_luiza,2019-4T,4T2019,231,0.5448113207547169,18,0.0424528301886792,175,0.4127358490566037,0.5023584905660378
magazine_luiza,2019-2T,2T2019,191,0.4340909090909091,32,0.0727272727272727,217,0.4931818181818181,0.3613636363636364
magazine_luiza,2018-4T,4T2018,139,0.4263803680981595,15,0.0460122699386503,172,0.5276073619631901,0.3803680981595092
magazine_luiza,2019-3T,3T2019,272,0.3994126284875183,29,0.0425844346549192,380,0.5580029368575624,0.3568281938325991
magazine_luiza,2012-4T,4T2012,121,0.4514925373134328,25,0.0932835820895522,122,0.4552238805970149,0.3582089552238806
magazine_luiza,2020-4T,4T2020,199,0.332220367278798,32,0.0534223706176961,368,0.6143572621035058,0.2787979966611018
santander,2021-4T,4T2021,16,0.057347670250896,32,0.1146953405017921,231,0.8279569892473119,-0.057347670250896
santander,2022-3T,3T2022,19,0.0472636815920398,55,0.1368159203980099,328,0.8159203980099502,-0.0895522388059701
gol,2011-4T,4T2011,50,0.2793296089385474,24,0.1340782122905028,105,0.5865921787709497,0.1452513966480447
gol,2015-2T,2T2015,124,0.3463687150837989,51,0.1424581005586592,183,0.5111731843575419,0.2039106145251396
gol,2018-3T,3T2018,116,0.5296803652968036,21,0.0958904109589041,82,0.3744292237442922,0.4337899543378995
gol,2022-2T,2T2022,69,0.552,8,0.064,48,0.384,0.488
gol,2014-4T,4T2014,124,0.3850931677018633,35,0.108695652173913,163,0.5062111801242236,0.2763975155279503
gol,2022-4T,4T2022,113,0.3791946308724832,36,0.1208053691275167,149,0.5,0.2583892617449664
gol,2015-4T,4T2015,84,0.1866666666666666,94,0.2088888888888889,272,0.6044444444444445,-0.0222222222222222
gol,2012-4T,4T2012,83,0.3878504672897196,33,0.1542056074766355,98,0.4579439252336448,0.2336448598130841
ccr,2014-4T,4T2014,38,0.1696428571428571,39,0.1741071428571428,147,0.65625,-0.0044642857142857
ccr,2020-3T,3T2020,51,0.2537313432835821,27,0.1343283582089552,123,0.6119402985074627,0.1194029850746268
ccr,2019-4T,4T2019,48,0.2352941176470588,22,0.1078431372549019,134,0.6568627450980392,0.1274509803921568
ccr,2018-4T,4T2018,37,0.1066282420749279,47,0.1354466858789625,263,0.7579250720461095,-0.0288184438040345
ccr,2016-4T,4T2016,26,0.1635220125786163,27,0.1698113207547169,106,0.6666666666666666,-0.0062893081761006
ccr,2013-4T,4T2013,41,0.2216216216216216,26,0.1405405405405405,118,0.6378378378378379,0.081081081081081
ccr,2012-4T,4T2012,50,0.326797385620915,12,0.0784313725490196,91,0.5947712418300654,0.2483660130718954
ccr,2020-4T,4T2020,65,0.247148288973384,30,0.1140684410646387,168,0.6387832699619772,0.1330798479087452
locaweb,2021-4T,4T2021,219,0.4506172839506173,26,0.0534979423868312,241,0.4958847736625514,0.397119341563786
locaweb,2022-3T,3T2022,239,0.3950413223140496,28,0.0462809917355371,338,0.5586776859504132,0.3487603305785124
locaweb,2022-2T,2T2022,335,0.4646324549237171,33,0.0457697642163661,353,0.4895977808599168,0.4188626907073509
locaweb,2022-1T,1T2022,220,0.4029304029304029,19,0.0347985347985348,307,0.5622710622710623,0.3681318681318681
locaweb,2022-4T,4T2022,268,0.4811490125673249,25,0.044883303411131,264,0.473967684021544,0.4362657091561939
mrv_engenharia,2021-4T,4T2021,59,0.2369477911646586,30,0.1204819277108433,160,0.642570281124498,0.1164658634538152
mrv_engenharia,2016-1T,1T2016,127,0.2645833333333333,57,0.11875,296,0.6166666666666667,0.1458333333333333
mrv_engenharia,2022-3T,3T2022,112,0.2267206477732793,54,0.1093117408906882,328,0.6639676113360324,0.117408906882591
mrv_engenharia,2011-4T,4T2011,135,0.2054794520547945,79,0.1202435312024353,443,0.6742770167427702,0.0852359208523592
mrv_engenharia,2018-2T,2T2018,56,0.1417721518987341,47,0.1189873417721519,292,0.739240506329114,0.0227848101265822
mrv_engenharia,2017-4T,4T2017,69,0.2574626865671642,11,0.0410447761194029,188,0.7014925373134329,0.2164179104477611
mrv_engenharia,2022-2T,2T2022,63,0.2079207920792079,31,0.1023102310231023,209,0.6897689768976898,0.1056105610561056
mrv_engenharia,2022-1T,1T2022,63,0.2079207920792079,31,0.1023102310231023,209,0.6897689768976898,0.1056105610561056
mrv_engenharia,2021-1T,1T2021,110,0.2282157676348547,40,0.0829875518672199,332,0.6887966804979253,0.1452282157676348
mrv_engenharia,2014-4T,4T2014,93,0.2268292682926829,52,0.1268292682926829,265,0.6463414634146342,0.1
mrv_engenharia,2021-2T,2T2021,58,0.1883116883116883,32,0.1038961038961039,218,0.7077922077922078,0.0844155844155844
mrv_engenharia,2016-3T,3T2016,63,0.2432432432432432,17,0.0656370656370656,179,0.6911196911196911,0.1776061776061776
mrv_engenharia,2021-3T,3T2021,83,0.2577639751552795,33,0.1024844720496894,206,0.639751552795031,0.15527950310559
mrv_engenharia,2022-4T,4T2022,130,0.2367941712204007,52,0.0947176684881603,367,0.668488160291439,0.1420765027322404
mrv_engenharia,2019-4T,4T2019,67,0.2392857142857143,26,0.0928571428571428,187,0.6678571428571428,0.1464285714285714
mrv_engenharia,2018-4T,4T2018,53,0.5096153846153846,2,0.0192307692307692,49,0.4711538461538461,0.4903846153846153
mrv_engenharia,2013-4T,4T2013,77,0.2092391304347826,70,0.1902173913043478,221,0.6005434782608695,0.0190217391304347
mrv_engenharia,2015-4T,4T2015,80,0.2088772845953002,38,0.0992167101827676,265,0.6919060052219321,0.1096605744125326
mrv_engenharia,2010-4T,4T2010,132,0.2645290581162324,77,0.1543086172344689,290,0.5811623246492986,0.1102204408817635
mrv_engenharia,2012-4T,4T2012,125,0.2620545073375262,81,0.1698113207547169,271,0.5681341719077568,0.0922431865828092
mrv_engenharia,2020-4T,4T2020,109,0.2845953002610966,39,0.1018276762402088,235,0.6135770234986945,0.1827676240208877
itau,2021-4T,4T2021,371,0.3321396598030439,108,0.0966875559534467,638,0.5711727842435094,0.2354521038495971
itau,2022-3T,3T2022,250,0.2870264064293915,100,0.1148105625717566,521,0.5981630309988519,0.1722158438576349
itau,2022-2T,2T2022,289,0.2757633587786259,124,0.1183206106870229,635,0.6059160305343512,0.157442748091603
itau,2022-1T,1T2022,248,0.2575285565939771,119,0.1235721703011422,596,0.6188992731048806,0.1339563862928348
itau,2017-2T,2T2017,82,0.3504273504273504,32,0.1367521367521367,120,0.5128205128205128,0.2136752136752136
itau,2022-4T,4T2022,240,0.3080872913992298,100,0.128369704749679,439,0.5635430038510911,0.1797175866495507
vale,2013-1T,1T2013,60,0.1829268292682926,33,0.1006097560975609,235,0.7164634146341463,0.0823170731707317
vale,2012-3T,3T2012,73,0.2039106145251396,51,0.1424581005586592,234,0.6536312849162011,0.0614525139664804
vale,2012-2T,2T2012,55,0.1687116564417178,70,0.2147239263803681,201,0.6165644171779141,-0.0460122699386503
vale,2013-2T,2T2013,67,0.184065934065934,55,0.1510989010989011,242,0.6648351648351648,0.0329670329670329
vale,2013-3T,3T2013,48,0.1269841269841269,56,0.1481481481481481,274,0.7248677248677249,-0.0211640211640211
vale,2014-1T,1T2014,62,0.1884498480243161,52,0.1580547112462006,215,0.6534954407294833,0.0303951367781155
vale,2011-2T,2T2011,12,0.0277777777777777,108,0.25,312,0.7222222222222222,-0.2222222222222222
vale,2011-1T,1T2011,14,0.038781163434903,91,0.2520775623268698,256,0.7091412742382271,-0.2132963988919667
vale,2019-2T,2T2019,98,0.2390243902439024,64,0.1560975609756097,248,0.6048780487804878,0.0829268292682926
vale,2018-4T,4T2018,25,0.0850340136054421,91,0.3095238095238095,178,0.6054421768707483,-0.2244897959183673
vale,2013-4T,4T2013,80,0.260586319218241,36,0.1172638436482084,191,0.6221498371335505,0.1433224755700325
vale,2012-4T,4T2012,70,0.208955223880597,50,0.1492537313432835,215,0.6417910447761194,0.0597014925373134
azul,2017-3T,3T2017,20,0.0413223140495867,126,0.2603305785123967,338,0.6983471074380165,-0.2190082644628099
azul,2021-4T,4T2021,20,0.032258064516129,75,0.1209677419354838,525,0.8467741935483871,-0.0887096774193548
azul,2022-3T,3T2022,14,0.0246478873239436,68,0.1197183098591549,486,0.8556338028169014,-0.0950704225352112
azul,2018-2T,2T2018,12,0.0296296296296296,98,0.2419753086419753,295,0.7283950617283951,-0.2123456790123457
azul,2019-1T,1T2019,13,0.0317848410757946,97,0.2371638141809291,299,0.7310513447432763,-0.2053789731051344
azul,2020-1T,1T2020,13,0.0242085661080074,135,0.2513966480446927,389,0.7243947858472998,-0.2271880819366853
azul,2018-3T,3T2018,11,0.0253456221198156,119,0.2741935483870967,304,0.7004608294930875,-0.2488479262672811
azul,2017-4T,4T2017,116,0.4113475177304964,19,0.0673758865248227,147,0.5212765957446809,0.3439716312056737
azul,2022-2T,2T2022,15,0.0277264325323475,64,0.1182994454713493,462,0.8539741219963032,-0.0905730129390018
azul,2022-1T,1T2022,8,0.0262295081967213,34,0.1114754098360655,263,0.8622950819672132,-0.0852459016393442
azul,2021-1T,1T2021,21,0.0341463414634146,67,0.1089430894308943,527,0.8569105691056911,-0.0747967479674796
azul,2017-1T,1T2017,18,0.0428571428571428,110,0.2619047619047619,292,0.6952380952380952,-0.219047619047619
azul,2021-2T,2T2021,17,0.0404761904761904,48,0.1142857142857142,355,0.8452380952380952,-0.0738095238095238
azul,2020-3T,3T2020,9,0.0149501661129568,75,0.1245847176079734,518,0.8604651162790697,-0.1096345514950166
azul,2017-2T,2T2017,16,0.0439560439560439,84,0.2307692307692307,264,0.7252747252747253,-0.1868131868131868
azul,2021-3T,3T2021,14,0.0254083484573502,61,0.1107078039927404,476,0.8638838475499092,-0.0852994555353902
azul,2018-1T,1T2018,7,0.0303030303030303,27,0.1168831168831168,197,0.8528138528138528,-0.0865800865800865
azul,2020-2T,2T2020,13,0.0197268588770864,71,0.1077389984825493,575,0.8725341426403642,-0.0880121396054628
azul,2022-4T,4T2022,8,0.0176211453744493,53,0.1167400881057268,393,0.8656387665198237,-0.0991189427312775
azul,2019-4T,4T2019,12,0.0279720279720279,125,0.2913752913752914,292,0.6806526806526807,-0.2634032634032634
azul,2019-2T,2T2019,16,0.0310077519379844,118,0.2286821705426356,382,0.7403100775193798,-0.1976744186046511
azul,2018-4T,4T2018,11,0.0351437699680511,79,0.2523961661341853,223,0.7124600638977636,-0.2172523961661341
azul,2019-3T,3T2019,18,0.0399113082039911,115,0.2549889135254989,318,0.70509977827051,-0.2150776053215077
azul,2020-4T,4T2020,15,0.0209205020920502,92,0.1283124128312412,610,0.8507670850767085,-0.107391910739191
BB,2022-3T,3T2022,225,0.3605769230769231,26,0.0416666666666666,373,0.5977564102564102,0.3189102564102564
BB,2013-1T,1T2013,81,0.2579617834394904,57,0.1815286624203821,176,0.5605095541401274,0.0764331210191082
BB,2012-3T,3T2012,168,0.2304526748971193,84,0.1152263374485596,477,0.654320987654321,0.1152263374485596
BB,2014-2T,2T2014,112,0.3128491620111732,33,0.0921787709497206,213,0.5949720670391061,0.2206703910614525
BB,2020-1T,1T2020,75,0.1677852348993288,72,0.1610738255033557,300,0.6711409395973155,0.0067114093959731
BB,2015-2T,2T2015,99,0.3113207547169811,44,0.1383647798742138,175,0.550314465408805,0.1729559748427672
BB,2018-3T,3T2018,112,0.3822525597269625,41,0.1399317406143344,140,0.4778156996587031,0.2423208191126279
BB,2013-2T,2T2013,120,0.3351955307262569,27,0.0754189944134078,211,0.5893854748603352,0.2597765363128491
BB,2013-3T,3T2013,124,0.246031746031746,64,0.1269841269841269,316,0.626984126984127,0.119047619047619
BB,2021-1T,1T2021,130,0.244360902255639,53,0.0996240601503759,349,0.6560150375939849,0.1447368421052631
BB,2014-4T,4T2014,107,0.2972222222222222,23,0.0638888888888888,230,0.6388888888888888,0.2333333333333333
BB,2021-2T,2T2021,102,0.2873239436619718,34,0.0957746478873239,219,0.6169014084507042,0.1915492957746478
BB,2014-1T,1T2014,97,0.2930513595166163,31,0.093655589123867,203,0.6132930513595166,0.1993957703927492
BB,2021-3T,3T2021,148,0.348235294117647,28,0.0658823529411764,249,0.5858823529411765,0.2823529411764706
BB,2015-1T,1T2015,81,0.2354651162790697,46,0.1337209302325581,217,0.6308139534883721,0.1017441860465116
BB,2020-2T,2T2020,89,0.173828125,49,0.095703125,374,0.73046875,0.078125
BB,2014-3T,3T2014,111,0.3083333333333333,31,0.0861111111111111,218,0.6055555555555555,0.2222222222222222
BB,2019-4T,4T2019,84,0.2692307692307692,19,0.0608974358974358,209,0.6698717948717948,0.2083333333333333
BB,2013-4T,4T2013,136,0.3715846994535519,31,0.0846994535519125,199,0.5437158469945356,0.2868852459016393
BB,2020-4T,4T2020,155,0.2536824877250409,43,0.0703764320785597,413,0.6759410801963993,0.1833060556464811
petrobras,2017-3T,3T2017,69,0.2211538461538461,34,0.1089743589743589,209,0.6698717948717948,0.1121794871794871
petrobras,2017-4T,4T2017,80,0.2446483180428134,40,0.1223241590214067,207,0.6330275229357798,0.1223241590214067
petrobras,2022-2T,2T2022,168,0.336,75,0.15,257,0.514,0.186
petrobras,2018-1T,1T2018,50,0.1915708812260536,31,0.1187739463601532,180,0.6896551724137931,0.0727969348659003
petrobras,2022-4T,4T2022,170,0.4096385542168674,49,0.1180722891566265,196,0.472289156626506,0.2915662650602409
petrobras,2016-4T,4T2016,86,0.1433333333333333,64,0.1066666666666666,450,0.75,0.0366666666666666
petrobras,2015-4T,4T2015,90,0.1304347826086956,117,0.1695652173913043,483,0.7,-0.0391304347826087
